"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"1012-10","USD","1012-10-0","Jd. Monte Belo","0","63442"
"1012-10","USD","1012-10-1","Term. Jd. Britania","1","63443"
"1015-10","USD","1015-10-0","Chác. Maria Trindade","0","64502"
"1016-10","USD","1016-10-0","Shop. Center Norte","0","63841"
"1016-10","USD","1016-10-1","Cem. Do Horto","1","63842"
"1017-10","USD","1017-10-0","Conexão Vl. Iório","0","64304"
"1017-10","USD","1017-10-1","Perus","1","64305"
"1018-10","USD","1018-10-0","Metrô Santana","0","64066"
"1018-10","USD","1018-10-1","Vl. Rosa","1","64068"
"1019-10","US_","1019-10-0","Term. Pirituba","0","63252"
"1019-10","US_","1019-10-1","Sol Nascente","1","63253"
"1020-10","USD","1020-10-0","Conexão Vl. Iório ","0","63624"
"1020-10","USD","1020-10-1","Perus","1","63625"
"1021-10","US_","1021-10-0","Term. Pirituba","0","58785"
"1021-10","US_","1021-10-1","Cohab Brasilândia","1","58786"
"1024-10","USD","1024-10-0","Conexão Petrônio Portela","0","58765"
"1024-10","USD","1024-10-1","Jd. Carombé","1","58766"
"1025-10","USD","1025-10-0","Conexão Petrônio Portela","0","58767"
"1025-10","USD","1025-10-1","Jd. Carombé","1","58768"
"1026-10","USD","1026-10-0","Conexão Petrônio Portela","0","60399"
"1026-10","USD","1026-10-1","Vl. Iara","1","60400"
"1034-10","USD","1034-10-0","Conexão Vl. Iório","0","60393"
"1034-10","USD","1034-10-1","Vl. Iara","1","60394"
"1036-10","USD","1036-10-0","Conexão Vl. Iório","0","61076"
"1036-10","USD","1036-10-1","Cohab Brasilândia","1","59459"
"106A-10","USD","106A-10-0","Itaim Bibi","0","60966"
"106A-10","USD","106A-10-1","Metrô Santana","1","60967"
"107T-10","USD","107T-10-0","Term. Pinheiros","0","60795"
"107T-10","USD","107T-10-1","Metrô Tucuruvi","1","64286"
"1156-10","USD","1156-10-0","Pça. Do Correio","0","63698"
"1156-10","USD","1156-10-1","Vl. Sabrina","1","64287"
"1177-10","USD","1177-10-0","Luz","0","58692"
"1177-10","USD","1177-10-1","Term. A. E. Carvalho","1","63041"
"1177-31","U__","1177-31-0","Luz","0","64537"
"1177-31","U__","1177-31-1","Term. A. E. Carvalho","1","63043"
"1178-10","USD","1178-10-0","Pça. Do Correio","0","58409"
"1178-10","USD","1178-10-1","São Miguel","1","64285"
"1178-31","U__","1178-31-0","Pça. Do Correio","0","58422"
"1178-31","U__","1178-31-1","São Miguel","1","58423"
"1178-32","U__","1178-32-0","Pça. Do Correio","0","58412"
"1178-33","U__","1178-33-0","São Miguel","0","61711"
"1178-42","U__","1178-42-0","Pça. Do Correio","0","58413"
"118C-10","USD","118C-10-0","Term. Amaral Gurgel","0","59672"
"118C-10","USD","118C-10-1","Jd. Pery Alto","1","59673"
"118Y-10","USD","118Y-10-0","Lapa","0","64683"
"118Y-10","USD","118Y-10-1","Lauzane Paulista","1","64676"
"119C-10","USD","119C-10-0","Term. Princ. Isabel","0","55216"
"119C-10","USD","119C-10-1","Pq. Edú Chaves","1","64881"
"119L-1","U__","119L-1-0","Term. Lapa","0","63667"
"119L-1","U__","119L-1-1","Vl. Sulina","1","63668"
"119L-10","US_","119L-10-0","Term. Lapa","0","58450"
"119L-10","US_","119L-10-1","Vl. Sulina","1","58447"
"1206-10","USD","1206-10-0","Correio","0","64536"
"121G-10","USD","121G-10-0","Metrô Tucuruvi","0","52421"
"128Y-10","USD","128Y-10-0","Lapa","0","63714"
"128Y-10","USD","128Y-10-1","Jd. Pery Alto","1","63716"
"129F-10","USD","129F-10-0","Metrô Barra Funda","0","63902"
"129F-10","USD","129F-10-1","Conexão Petrônio Portela","1","63903"
"129F-41","U__","129F-41-0","Pça. Do Correio","0","61188"
"129F-41","U__","129F-41-1","Conexão Petrônio Portela","1","61189"
"139A-10","USD","139A-10-0","Lapa","0","61292"
"139A-10","USD","139A-10-1","Vl. Iório","1","61293"
"148L-10","USD","148L-10-0","Lapa","0","52857"
"148L-10","USD","148L-10-1","Cohab Antártica","1","52858"
"148P-10","USD","148P-10-0","Metrô Barra Funda","0","62166"
"148P-10","USD","148P-10-1","Pedra Branca","1","65004"
"1701-10","USD","1701-10-0","Carandiru","0","61085"
"1701-21","USD","1701-21-0","Metrô Tucuruvi","0","64454"
"1701-21","USD","1701-21-1","Jova Rural","1","64455"
"1701-22","U__","1701-22-0","Metrô Tucuruvi","0","64451"
"1701-22","U__","1701-22-1","Jova Rural","1","64452"
"1702-10","USD","1702-10-0","Tietê","0","61553"
"1702-10","USD","1702-10-1","Jova Rural","1","61554"
"1703-10","USD","1703-10-0","Shop. Center Norte","0","52632"
"1703-10","USD","1703-10-1","Jd. Fontális","1","52633"
"1705-10","USD","1705-10-0","Metrô Tucuruvi","0","64330"
"1705-10","USD","1705-10-1","Jd. São João","1","64334"
"1705-51","U__","1705-51-0","Metrô Tucuruvi","0","64575"
"1705-51","U__","1705-51-1","Cem. Pq. Da Cantareira","1","64576"
"1709-10","USD","1709-10-0","Metrô Tucuruvi","0","64457"
"1709-10","USD","1709-10-1","Jd. Joana D'arc","1","64458"
"1709-21","U__","1709-21-0","Metrô Tucuruvi","0","64459"
"1720-10","USD","1720-10-0","Cantareira","0","54502"
"1720-10","USD","1720-10-1","Jd. Guancã","1","54503"
"1720-21","USD","1720-21-0","Metrô Tucuruvi","0","52936"
"1721-10","USD","1721-10-0","Metrô Carandiru","0","52941"
"1722-10","USD","1722-10-0","Metrô Tucuruvi","0","63279"
"1722-10","USD","1722-10-1","Jd. Marina","1","63248"
"1726-10","USD","1726-10-0","Metrô Santana","0","52429"
"1726-10","USD","1726-10-1","Cem. Pq. Dos Pinheiros","1","64708"
"172J-10","USD","172J-10-0","Tatuapé","0","63374"
"172J-10","USD","172J-10-1","Jd. Brasil","1","63371"
"172K-10","USD","172K-10-0","Metrô Tatuapé","0","63523"
"172K-10","USD","172K-10-1","Jd. Tremembé","1","59869"
"172N-10","USD","172N-10-0","Metrô Belém","0","60354"
"172N-10","USD","172N-10-1","Shop. Center Norte","1","60355"
"172N-21","U__","172N-21-0","Metrô Belém","0","60359"
"172N-22","U__","172N-22-0","Metrô Belém","0","60360"
"172P-10","USD","172P-10-0","Metrô Belém","0","53714"
"172P-10","USD","172P-10-1","Vl. Zilda","1","53715"
